id,name,followers,genre,popularity
4q3ewBCX7sLwd24euuV69X,Bad Bunny,75662365,"['reggaeton', 'trap latino', 'urbano latino']",97
06HL4z0CvFAxyc27GXpf02,Taylor Swift,90026456,['pop'],100
3TVXtAsR1Inumwj472S9r4,Drake,80976926,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",97
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,73418832,"['canadian contemporary r&b', 'canadian pop', 'pop']",94
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,26921800,"['dance pop', 'pop']",89
790FomKkXshlbRYZFtlgla,KAROL G,40784506,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",90
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,29256783,['pop'],90
2LRoIwlKmHjgvigdNGBHNo,Feid,7963883,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",90
7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,10394158,"['k-pop', 'k-pop boy group']",79
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,24760333,"['hip hop', 'rap', 'slap house']",92
3wcj11K77LjEY1PkEazffa,Burna Boy,6978169,"['afrobeats', 'azontobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']",80
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,10562931,['k-pop'],88
45dkTj5sMRSjrmBSBeiHym,Tate McRae,3887585,"['alt z', 'pop']",82
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,114875034,"['pop', 'singer-songwriter pop', 'uk pop']",88
7tYKF4w9nC0nq9CsPZTHyP,SZA,15365299,"['pop', 'r&b', 'rap']",89
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,8422874,"['corridos tumbados', 'sad sierreno']",92
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,7960555,"['australian pop', 'pop', 'viral pop']",80
4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,23277672,"['desi hip hop', 'filmi', 'tamil hip hop']",86
0jbo7KFNMiIkfBR6ih0yhm,iñigo quintero,138062,[],76
0Q8NcsJwoCbZOHHW63su5S,Mora,3016538,"['trap latino', 'urbano latino']",86
4dpARuHxo51G3z768sgnrY,Adele,52004063,"['british soul', 'pop', 'pop soul', 'uk pop']",84
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,13389130,"['album rock', 'british invasion', 'classic rock', 'rock']",79
3SozjO3Lat463tQICI9LcE,Tyla,183732,[],73
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,22394226,['pop'],84
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,29020605,"['art pop', 'pop']",90
7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,317369,['singer-songwriter pop'],77
716NhGYqD1jl2wI1Qkgq36,Bizarrap,12963333,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",86
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,41844827,"['dance pop', 'pop', 'uk pop']",86
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,2424104,"['classic oklahoma country', 'modern country pop']",88
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,5880905,['rap'],87
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,87878184,"['art pop', 'pop']",88
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,2131643,['musica chihuahuense'],85
6KImCVD70vtIoJWnq6nGn3,Harry Styles,29846556,['pop'],85
6Te49r3A6f5BiIgBRxH7FH,Ninho,8848447,"['french hip hop', 'pop urbaine']",78
246dkjvS1zLTtiykXe5h60,Post Malone,42396464,"['dfw rap', 'melodic rap', 'pop', 'rap']",88
46pWGuE3dSwY3bMMXGBvVS,Rema,3339928,"['afrobeats', 'nigerian pop']",78
7iK8PXO48WeuP03g8YR51W,Myke Towers,12961986,"['reggaeton', 'trap latino', 'urbano latino']",87
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,21650868,"['chicago rap', 'hip hop', 'rap']",90
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,93097608,"['filmi', 'modern bollywood']",89
5H4yInM5zmHqpKIoMNAx4r,Central Cee,4211331,['melodic drill'],82
66ihevNkSYNzRAl44dx6jJ,Carin Leon,8443277,"['corrido', 'musica mexicana', 'sad sierreno', 'sierreno']",86
1r4hJ1h58CWwUQe3MxPuau,Maluma,34362841,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",84
52iwsT98xCoGgiGntTiR7K,Quevedo,3142362,"['rap canario', 'trap latino', 'urbano latino']",85
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,3125793,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",80
6HvZYsbFfjnjFrWF950C9d,NewJeans,5811406,"['k-pop', 'k-pop girl group']",83
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,22011318,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",85
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,7442415,['contemporary country'],87
6Ip8FS7vWT1uKkJSweANQK,Dave,3839352,['uk hip hop'],80
6HCBnyTBSLdb3TFn2ayulY,Leto,875018,"['french hip hop', 'pop urbaine', 'rap francais']",68
64tJ2EAv1R6UaZqc4iOCyj,YOASOBI,6598176,"['j-pop', 'japanese teen pop']",77
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,58044161,"['barbadian pop', 'pop', 'urban contemporary']",88
40YXr3tdSqFv0kfmgjj8vP,ANNA ASTI,380262,['russian pop'],59
2uYWxilOVlUdk4oV9DvwqK,Mitski,5460993,"['brooklyn indie', 'pov: indie']",82
45TgXXqMDdF8BkjA83OM7z,Rod Wave,5708055,['florida rap'],80
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,51617766,"['dance pop', 'pop']",87
7Gi6gjaWy3DxyilpF1a8Is,Junior H,11008727,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",89
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,47637325,"['permanent wave', 'pop']",86
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,6099300,"['atl hip hop', 'melodic rap', 'rap', 'trap']",84
718COspgdWOnwOFpJHRZHS,Luke Combs,9430156,"['contemporary country', 'country']",83
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,16056577,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']",85
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,19014337,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",87
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,4816988,['australian hip hop'],79
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,5362550,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",86
3ZpEKRjHaHANcpk10u6Ntq,Ayra Starr,1993101,['afrobeats'],73
5wCmhq5J2hPwL2r0eKurxn,cassö,14866,[],74
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,3511300,"['chill pop', 'neo-singer-songwriter']",76
7dGJo4pcD2V6oG8kP0tJRR,Eminem,77596640,"['detroit hip hop', 'hip hop', 'rap']",89
3a1tBryiczPAZpgoZN9Rzg,Asake,2127647,"['afrobeats', 'nigerian pop']",72
5KKpBU5eC2tJDzf0wmlRp2,RAYE,1039543,"['uk contemporary r&b', 'uk pop']",79
6vWDO969PvNqNYHIOW5v0m,Beyoncé,36075322,"['pop', 'r&b']",85
6FBDaR13swtiWwGhX1WQsP,blink-182,7853111,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",80
2R21vXR83lH98kGeO99Y66,Anuel AA,33040191,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",86
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,50669153,"['modern rock', 'pop', 'rock']",86
1wRPtKGflJrBx9BmLsSwlU,Pritam,22328987,"['filmi', 'indian instrumental', 'modern bollywood']",86
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,3487401,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",76
5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,5255789,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']",83
19HM5j0ULGSmEoRcrSe5x3,Milo j,1279537,['trap argentino'],83
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,21692505,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",86
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,26341933,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",86
5gqmbbfjcikQBzPB5Hv13I,Gazo,2005423,"['drill francais', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap francais']",76
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,20622975,"['pop rap', 'r&b', 'rap']",85
33NVpKoXjItPwUJTMZIOiY,David Kushner,1419235,['gen z singer-songwriter'],77
49aaHxvAJ0tCh0F15OnwIl,Loreen,981245,"['europop', 'swedish pop']",71
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,28222809,"['art pop', 'dance pop', 'pop']",83
0Y3agQaa6g2r0YmHPOO9rh,Davido,3712174,"['afrobeats', 'afropop', 'azontobeats', 'ghanaian hip hop', 'nigerian pop']",72
1TtXnWcUs0FCkaZDPGYHdf,Darell,3958164,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",77
3qsKSpcV3ncke3hw52JSMB,Young Miko,1439064,"['trap latino', 'urbano latino']",83
1URnnhqYAYcrqrcwql10ft,21 Savage,15246304,"['atl hip hop', 'hip hop', 'rap']",89
2rEVnwCPBeGkWMv425KoG1,AYLIVA,997956,['german pop'],77
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,11817995,"['pop', 'uk pop']",79
250b0Wlc5Vk0CoUsaCY84M,JENNIE,4312188,['k-pop'],75
7CajNmpbOovFoOoasH2HaY,Calvin Harris,23388463,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",84
4cG43cUBRJWWDsRh4SW48i,Viktor Sheen,495919,"['czech drill', 'czech hip hop', 'czsk hip hop']",67
3gBZUcNeVumkeeJ19CY2sX,Ken Carson,773716,['rage rap'],79
3YBJLs7RqR0aPGBgU27nDh,Werenoi,453100,"['french hip hop', 'pop urbaine']",73
6nVcHLIgY5pE2YCl8ubca1,Jhayco,6895428,"['reggaeton', 'trap latino', 'urbano latino']",83
5VadK1havLhK1OpKYsXv9y,D-Block Europe,1206042,"['melodic drill', 'uk hip hop']",77
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,74256151,"['canadian pop', 'pop']",88
3MdXrJWsbVzdn6fe5JYkSQ,Latto,1260702,['trap queen'],84
0elWFr7TW8piilVRYJUe4P,Natanael Cano,9103215,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",86
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,13101800,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",82
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,45947760,"['pop', 'post-teen pop']",83
0GM7qgcRCORpGnfcN2tCiB,Tainy,1760546,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",80
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,1416876,['pov: indie'],83
3qiHUAX7zY4Qnjx8TNUzVx,Yeat,3354244,"['pluggnb', 'rage rap']",83
2lolQgalUvZDfp5vvVtTYV,Tony Bennett,871138,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",62
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,10552483,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",80
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,12004356,"['lgbtq+ hip hop', 'neo soul']",83
5TirRF3azWV5OpyufcDCFP,A-Reece,682898,"['south african hip hop', 'south african trap']",57
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,3055012,"['anime rock', 'j-pop', 'j-rock']",74
2wY79sveU1sp5g7SokKOiI,Sam Smith,23206012,"['pop', 'uk pop']",83
1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,5085916,['pop argentino'],81
2LIk90788K0zvyj2JJVwkJ,Jack Harlow,3038728,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",83
6EIriUxo7vznEgJtTDlXpq,Azahriah,325576,['hungarian pop'],66
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,7118635,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",82
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,33556302,"['boy band', 'pop', 'post-teen pop', 'talent show']",83
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,14031999,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']",83
3IDfJpj4YVkaBl7Dd52Pxv,Byron Messia,53051,[],60
2mLA48B366zkELXYx7hcDN,Peggy Gou,792631,"['electra', 'float house']",72
1KCSPY1glIKqW2TotWuXOR,P!nk,15960941,"['dance pop', 'pop']",80
0EmeFodog0BfCgMzAIvKQp,Shakira,31665577,"['colombian pop', 'dance pop', 'latin pop', 'pop']",86
2OhUNb01gLwygOizYvTm0e,Big One,236367,['trap argentino'],76
1CcZoULzFHa8Uhwo6OlQcp,Semicenk,1875249,['turkish pop'],74
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,25680466,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",87
1RyvyyTE3xzB2ZywiAwp0i,Future,15084398,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",88
0LKAV3zJ8a8AIGnyc5OvfB,SDM,647976,"['french hip hop', 'pop urbaine', 'r&b francais']",70
35oGZihZclGoTVuICPXRP9,Jere Klein,687881,['reggaeton chileno'],75
5WUlDfRSoLAfcVSX1WnrxN,Sia,27043819,"['australian dance', 'australian pop', 'pop']",82
3Nrfpe0tUJi4K4DXYWgMUX,BTS,70356205,"['k-pop', 'k-pop boy group', 'pop']",86
2WoVwexZuODvclzULjPQtm,Sampha,667110,"['alternative r&b', 'indie soul']",65
7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,13831880,"['filmi', 'hindi hip hop', 'modern bollywood']",76
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,94233961,['pop'],87
5VKufGMVAZ6fs111xYNKnU,MACAN,615473,"['russian gangster rap', 'russian hip hop']",59
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,37756916,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",85
6mEQK9m2krja6X1cfsAjfl,Ado,3226871,"['j-pop', 'japanese teen pop']",74
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,24527597,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",84
